Experiment,Real time 1 (s),User time 1 (s),Consumption 1 (J),Real time 2 (s),User time 2 (s),Consumption 2 (J),Real time 3 (s),User time 3 (s),Consumption 3 (J),Real time 4 (s),User time 4 (s),Consumption 4 (J),Real time 5 (s),User time 5 (s),Consumption 5 (J),Real time 6 (s),User time 6 (s),Consumption 6 (J),Real time 7 (s),User time 7 (s),Consumption 7 (J),Real time 8 (s),User time 8 (s),Consumption 8 (J),Real time 9 (s),User time 9 (s),Consumption 9 (J),Real time 10 (s),User time 10 (s),Consumption 10 (J),Real time 11 (s),User time 11 (s),Consumption 11 (J),Real time 12 (s),User time 12 (s),Consumption 12 (J),Real time 13 (s),User time 13 (s),Consumption 13 (J),Real time 14 (s),User time 14 (s),Consumption 14 (J),Real time 15 (s),User time 15 (s),Consumption 15 (J),Real time 16 (s),User time 16 (s),Consumption 16 (J),Real time 17 (s),User time 17 (s),Consumption 17 (J),Real time 18 (s),User time 18 (s),Consumption 18 (J),Real time 19 (s),User time 19 (s),Consumption 19 (J),Real time 20 (s),User time 20 (s),Consumption 20 (J),Real time 21 (s),User time 21 (s),Consumption 21 (J),Real time 22 (s),User time 22 (s),Consumption 22 (J),Real time 23 (s),User time 23 (s),Consumption 23 (J),Real time 24 (s),User time 24 (s),Consumption 24 (J),Real time 25 (s),User time 25 (s),Consumption 25 (J),Real time 26 (s),User time 26 (s),Consumption 26 (J),Real time 27 (s),User time 27 (s),Consumption 27 (J),Real time 28 (s),User time 28 (s),Consumption 28 (J),Real time 29 (s),User time 29 (s),Consumption 29 (J),Real time 30 (s),User time 30 (s),Consumption 30 (J),Real time 31 (s),User time 31 (s),Consumption 31 (J),Real time 32 (s),User time 32 (s),Consumption 32 (J),Real time 33 (s),User time 33 (s),Consumption 33 (J),Real time 34 (s),User time 34 (s),Consumption 34 (J),Real time 35 (s),User time 35 (s),Consumption 35 (J),Real time 36 (s),User time 36 (s),Consumption 36 (J),Real time 37 (s),User time 37 (s),Consumption 37 (J),Real time 38 (s),User time 38 (s),Consumption 38 (J),Real time 39 (s),User time 39 (s),Consumption 39 (J),Real time 40 (s),User time 40 (s),Consumption 40 (J),Real time 41 (s),User time 41 (s),Consumption 41 (J),Real time 42 (s),User time 42 (s),Consumption 42 (J),Real time 43 (s),User time 43 (s),Consumption 43 (J),Real time 44 (s),User time 44 (s),Consumption 44 (J),Real time 45 (s),User time 45 (s),Consumption 45 (J),Real time 46 (s),User time 46 (s),Consumption 46 (J),Real time 47 (s),User time 47 (s),Consumption 47 (J),Real time 48 (s),User time 48 (s),Consumption 48 (J),Real time 49 (s),User time 49 (s),Consumption 49 (J),Real time 50 (s),User time 50 (s),Consumption 50 (J),Mean Real time (s),Std Real time (s),Mean User time (s),Std User time (s),Std Consumption (J),Consumption (Mean Real) (J),Consumption (Mean User) (J)
qdd-gfortran-linux-FFTW-OMP-DYN-noStatic-Debug,701.0,8598.0,4180.03,689.0,8498.0,4399.34,709.0,8662.0,4033.29,718.0,8822.0,4306.36,700.0,8584.0,4538.8,708.0,8683.0,4753.43,702.0,8641.0,4587.37,697.0,8551.0,4282.7,699.0,8563.0,4448.56,712.0,8772.0,4335.62,705.0,8645.0,3028.15,701.0,8621.0,3993.95,692.0,8594.0,3078.2,710.0,8673.0,3152.09,688.0,8543.0,3147.17,684.0,8488.0,2949.94,713.0,8743.0,4037.56,702.0,8628.0,3043.57,703.0,8582.0,3140.36,713.0,8701.0,3093.73,704.0,8639.0,2919.83,705.0,8705.0,3975.39,698.0,8581.0,3127.13,705.0,8614.0,2929.95,697.0,8571.0,3967.61,703.0,8613.0,3092.04,708.0,8676.0,3828.34,710.0,8756.0,3039.74,709.0,8641.0,3051.64,692.0,8620.0,3910.04,710.0,8732.0,3106.89,705.0,8711.0,3038.96,706.0,8699.0,3469.13,700.0,8625.0,3118.04,695.0,8613.0,2964.08,695.0,8555.0,2955.48,704.0,8634.0,3025.81,710.0,8730.0,3900.87,705.0,8689.0,3262.41,694.0,8556.0,3163.84,699.0,8631.0,3101.94,693.0,8571.0,3061.31,708.0,8669.0,2967.09,691.0,8522.0,3113.61,699.0,8587.0,3054.39,696.0,8586.0,3916.83,715.0,8732.0,3098.57,697.0,8602.0,3037.77,695.0,8579.0,3658.96,706.0,8621.0,3073.49,702.0,7.53,8633.04,72.06,566.39,40823.97,502044.08
qdd-gfortran-linux-FFTW-OMP-DYN-noStatic-noDebug,366.0,5030.0,4814.67,367.0,5035.0,4777.59,366.0,5027.0,4430.69,364.0,4993.0,4370.95,367.0,5045.0,4829.63,367.0,5051.0,4758.92,363.0,4978.0,3801.19,355.0,4854.0,5236.04,359.0,4930.0,3925.82,367.0,5057.0,4986.32,362.0,4968.0,3501.42,364.0,5000.0,4205.16,372.0,5130.0,3625.08,358.0,4904.0,3375.28,356.0,4880.0,3811.56,376.0,5174.0,3610.61,352.0,4819.0,3617.64,369.0,5065.0,3705.16,374.0,5148.0,3339.2,369.0,5081.0,4424.87,374.0,5148.0,3673.75,361.0,4953.0,3277.2,376.0,5181.0,3398.31,357.0,4880.0,3652.5,370.0,5097.0,3637.33,371.0,5085.0,3266.36,365.0,5020.0,4545.82,363.0,4994.0,3634.39,359.0,4929.0,3736.32,364.0,4999.0,4209.19,375.0,5154.0,3779.28,361.0,4956.0,3422.19,365.0,5007.0,3508.41,363.0,4989.0,4399.45,355.0,4867.0,3817.39,376.0,5171.0,3332.7,356.0,4876.0,3148.01,359.0,4936.0,4447.66,379.0,5239.0,3240.4,356.0,4887.0,4267.43,356.0,4886.0,3344.18,363.0,4988.0,4271.42,364.0,5016.0,3225.28,365.0,5024.0,3373.57,355.0,4854.0,3207.32,355.0,4852.0,4545.95,372.0,5114.0,4351.31,396.0,5482.0,3447.33,362.0,4960.0,3369.93,378.0,5194.0,4463.48,365.28,8.26,5018.14,124.17,560.89,23760.45,326416.06
qdd-gfortran-linux-FFTW-OMP-noStatic-Debug,759.0,10716.0,5260.37,755.0,10721.0,4825.33,789.0,11208.0,4194.92,768.0,10880.0,5293.92,757.0,10720.0,4621.74,758.0,10750.0,4762.27,773.0,11021.0,4845.29,743.0,10538.0,4584.42,778.0,11067.0,4648.89,770.0,10873.0,4850.49,760.0,10764.0,3987.94,773.0,10990.0,4239.84,759.0,10761.0,4213.72,776.0,11015.0,3622.52,755.0,10766.0,4736.24,764.0,10792.0,3763.36,770.0,10973.0,4016.65,772.0,10950.0,4727.82,788.0,11170.0,4679.21,739.0,10558.0,3419.6,764.0,10859.0,4642.4,770.0,10925.0,3545.87,771.0,10932.0,4696.2,766.0,10878.0,4131.6,762.0,10860.0,3621.73,772.0,10906.0,4664.65,779.0,11061.0,3734.94,772.0,10942.0,3741.61,762.0,10799.0,4132.89,758.0,10770.0,4062.54,752.0,10643.0,4076.86,769.0,10862.0,3668.29,773.0,10990.0,4756.96,779.0,11081.0,3751.48,751.0,10628.0,4914.62,752.0,10698.0,3482.06,760.0,10812.0,4626.34,767.0,10841.0,3704.16,756.0,10748.0,3774.66,794.0,11242.0,4748.86,731.0,10415.0,4268.35,750.0,10680.0,4134.27,768.0,10896.0,4227.13,778.0,11040.0,4053.18,764.0,10857.0,3906.58,772.0,10921.0,4329.61,775.0,10987.0,3634.89,746.0,10614.0,4978.94,760.0,10814.0,3937.74,761.0,10829.0,4809.49,764.8,12.37,10855.26,170.16,498.9,54569.36,774535.25
qdd-gfortran-linux-FFTW-OMP-noStatic-noDebug,397.0,6215.0,5026.94,393.0,6154.0,4966.23,417.0,6541.0,5683.15,410.0,6428.0,3987.7,397.0,6220.0,4823.33,420.0,6594.0,5617.68,401.0,6290.0,4293.92,403.0,6310.0,5511.72,413.0,6484.0,4684.58,410.0,6440.0,5442.47,413.0,6469.0,4863.94,386.0,6060.0,3823.21,428.0,6716.0,4203.83,423.0,6628.0,4274.65,407.0,6380.0,4363.1,393.0,6157.0,3737.96,423.0,6637.0,4931.03,400.0,6271.0,3721.71,407.0,6381.0,4062.49,388.0,6088.0,3767.11,381.0,5959.0,4289.61,393.0,6164.0,4357.18,393.0,6165.0,4159.77,398.0,6240.0,4213.7,397.0,6222.0,4016.62,389.0,6087.0,4698.8,430.0,6754.0,3923.18,383.0,5996.0,4648.94,411.0,6456.0,4255.55,401.0,6289.0,4431.55,394.0,6176.0,5073.84,392.0,6143.0,3873.68,394.0,6172.0,5085.9,404.0,6336.0,4365.68,390.0,6116.0,4633.93,394.0,6169.0,4324.13,412.0,6454.0,4516.12,402.0,6303.0,3681.8,423.0,6639.0,4204.39,430.0,6755.0,5261.77,416.0,6524.0,4186.38,401.0,6291.0,4324.42,391.0,6118.0,4456.56,419.0,6572.0,4123.58,412.0,6462.0,4667.89,397.0,6217.0,4183.45,408.0,6403.0,4710.26,408.0,6399.0,3916.78,415.0,6509.0,4862.23,404.0,6326.0,4244.58,404.22,12.56,6337.58,200.97,509.26,30111.56,472105.39
qdd-gfortran-linux-FFTW-noOMP-noStatic-Debug,2660.0,2656.0,4066.17,2640.0,2638.0,4447.97,2659.0,2656.0,4429.61,2662.0,2659.0,4365.88,2652.0,2649.0,4436.2,2655.0,2652.0,4015.6,2649.0,2645.0,4334.88,2654.0,2651.0,4140.46,2650.0,2647.0,4316.96,2665.0,2661.0,4562.13,2612.0,2609.0,3578.11,2715.0,2712.0,3602.84,2744.0,2741.0,2802.47,2638.0,2635.0,3567.8,2764.0,2761.0,3607.58,2716.0,2713.0,2797.71,2682.0,2680.0,3583.43,2771.0,2767.0,3617.69,2634.0,2631.0,3611.04,2761.0,2758.0,3611.85,2740.0,2736.0,3612.77,2651.0,2648.0,3616.84,2767.0,2763.0,3567.64,2705.0,2701.0,3608.4,2690.0,2687.0,3618.84,2828.0,2824.0,3619.69,2633.0,2630.0,3627.69,2605.0,2602.0,3605.59,2617.0,2614.0,3622.85,2614.0,2612.0,3620.84,2618.0,2614.0,2749.17,2719.0,2716.0,2749.95,2790.0,2785.0,2751.69,2646.0,2643.0,2753.02,2777.0,2774.0,2753.18,2672.0,2668.0,3568.72,2701.0,2698.0,2797.31,2766.0,2761.0,2752.0,2655.0,2652.0,2751.21,2752.0,2748.0,2749.58,2723.0,2720.0,2748.5,2646.0,2643.0,2746.94,2765.0,2760.0,2748.59,2668.0,2664.0,2748.99,2709.0,2706.0,2748.37,2769.0,2766.0,2749.34,2620.0,2617.0,2750.03,2625.0,2621.0,2751.1,2616.0,2612.0,2752.3,2622.0,2619.0,2753.46,2685.84,58.56,2682.5,58.29,607.27,151741.88,151553.18
qdd-gfortran-linux-FFTW-noOMP-noStatic-noDebug,1478.0,1475.0,4212.2,1445.0,1442.0,4370.67,1432.0,1429.0,4318.35,1423.0,1420.0,4179.97,1440.0,1437.0,4182.65,1429.0,1426.0,4023.24,1438.0,1435.0,4397.4,1432.0,1430.0,4430.69,1445.0,1442.0,4376.28,1424.0,1422.0,4367.64,1405.0,1402.0,3655.52,1423.0,1420.0,3613.05,1410.0,1407.0,3629.82,1402.0,1399.0,3632.93,1405.0,1402.0,3610.37,1403.0,1401.0,3632.24,1413.0,1411.0,2761.06,1413.0,1410.0,3620.28,1411.0,1408.0,3623.78,1402.0,1400.0,2794.15,1408.0,1405.0,3614.03,1410.0,1407.0,3614.56,1404.0,1401.0,3593.03,1412.0,1409.0,3639.78,1403.0,1400.0,3627.85,1407.0,1404.0,3621.0,1409.0,1407.0,3584.03,1402.0,1399.0,3614.15,1407.0,1404.0,3577.7,1409.0,1407.0,3617.22,1411.0,1408.0,2753.19,1402.0,1398.0,2753.47,1416.0,1413.0,2753.44,1417.0,1413.0,2755.55,1420.0,1419.0,2754.9,1411.0,1407.0,2753.27,1410.0,1406.0,2751.9,1412.0,1409.0,2750.06,1429.0,1426.0,2750.05,1404.0,1401.0,2748.8,1402.0,1398.0,2746.77,1413.0,1410.0,2747.92,1422.0,1418.0,2748.54,1422.0,1419.0,2750.75,1412.0,1409.0,3570.22,1418.0,1415.0,2760.99,1409.0,1405.0,2755.62,1406.0,1403.0,2754.4,1412.0,1409.0,2755.1,1413.0,1410.0,2753.69,1416.1,14.49,1413.14,14.54,599.72,79964.46,79797.32
qdd-gfortran-linux-MKL-OMP-DYN-noStatic-Debug,646.0,8015.0,4467.97,638.0,7910.0,4394.81,642.0,7950.0,4657.15,647.0,8004.0,4483.83,636.0,7879.0,3727.97,655.0,8206.0,4371.4,630.0,7848.0,4508.06,651.0,8010.0,4518.85,645.0,8004.0,4493.67,638.0,7925.0,4485.66,647.0,8039.0,3248.76,640.0,7957.0,3310.37,638.0,7920.0,3242.3,638.0,7939.0,3291.71,638.0,7883.0,3206.89,642.0,7986.0,3129.93,638.0,7972.0,3395.45,631.0,7876.0,3842.41,640.0,7870.0,3236.94,631.0,7831.0,3210.16,644.0,8064.0,3322.51,635.0,7921.0,3212.36,642.0,7923.0,3248.7,634.0,7858.0,3296.13,640.0,7982.0,3142.36,642.0,7984.0,3324.44,640.0,7909.0,3245.28,636.0,7856.0,3242.8,628.0,7868.0,3051.08,632.0,7871.0,3394.96,641.0,7958.0,3846.95,638.0,7922.0,3331.08,626.0,7811.0,3317.37,629.0,7924.0,3372.06,635.0,7863.0,3358.3,637.0,7885.0,3457.63,643.0,7953.0,3326.71,634.0,7859.0,3297.6,635.0,7892.0,3383.01,631.0,7844.0,3212.94,632.0,7855.0,3107.14,641.0,7993.0,3234.45,633.0,7898.0,3224.42,638.0,7893.0,3280.59,629.0,7823.0,3299.99,631.0,7843.0,3219.66,620.0,7774.0,3187.21,634.0,7860.0,3361.02,648.0,8007.0,3150.95,652.0,8002.0,3335.0,637.82,6.94,7922.38,77.42,482.43,37420.68,464803.37
qdd-gfortran-linux-MKL-OMP-DYN-noStatic-noDebug,315.0,4518.0,4707.56,296.0,4246.0,4818.18,297.0,4265.0,4799.82,290.0,4139.0,4598.19,290.0,4147.0,4955.36,297.0,4255.0,3481.33,292.0,4173.0,4914.05,303.0,4336.0,4463.46,289.0,4122.0,4624.57,309.0,4426.0,4543.37,299.0,4273.0,3628.22,294.0,4203.0,4888.99,293.0,4188.0,4833.76,294.0,4218.0,4746.99,289.0,4131.0,4948.25,297.0,4251.0,3392.71,304.0,4355.0,3619.52,294.0,4210.0,3975.08,296.0,4248.0,3573.06,295.0,4214.0,3705.24,288.0,4101.0,3906.53,299.0,4282.0,3578.28,297.0,4256.0,3696.33,294.0,4195.0,4408.07,292.0,4182.0,3617.18,290.0,4145.0,3646.41,296.0,4227.0,4107.5,290.0,4141.0,3840.96,290.0,4146.0,3841.7,300.0,4287.0,3878.34,297.0,4252.0,3857.49,316.0,4565.0,3403.54,296.0,4242.0,3860.08,290.0,4140.0,3772.35,291.0,4156.0,3873.3,309.0,4440.0,3548.93,289.0,4139.0,3639.19,303.0,4341.0,3882.53,287.0,4102.0,3717.03,294.0,4203.0,3787.65,298.0,4263.0,3677.35,291.0,4154.0,3771.53,313.0,4483.0,3780.2,287.0,4103.0,3832.16,288.0,4115.0,3929.28,299.0,4290.0,3972.39,303.0,4318.0,3700.83,293.0,4188.0,3803.72,298.0,4272.0,3471.57,294.0,4213.0,3754.07,296.1,7.05,4237.18,107.49,481.77,19816.41,283572.14
qdd-gfortran-linux-MKL-OMP-noStatic-Debug,751.0,10648.0,4905.25,754.0,10725.0,5057.8,731.0,10390.0,4807.03,747.0,10541.0,4906.71,755.0,10698.0,4687.03,732.0,10454.0,4530.03,754.0,10650.0,4549.98,735.0,10426.0,4749.55,744.0,10534.0,4531.74,763.0,10765.0,4666.24,740.0,10529.0,4052.34,733.0,10441.0,3923.65,742.0,10520.0,4265.43,739.0,10442.0,3756.63,746.0,10583.0,4109.27,749.0,10551.0,3915.74,766.0,10797.0,4052.13,750.0,10605.0,3590.68,734.0,10422.0,4070.69,751.0,10586.0,4007.1,748.0,10581.0,3954.24,756.0,10750.0,3661.58,738.0,10474.0,4160.94,752.0,10644.0,4044.95,766.0,10825.0,4038.09,737.0,10456.0,4054.55,749.0,10609.0,3785.95,742.0,10507.0,4107.52,747.0,10586.0,3693.2,744.0,10533.0,4101.75,758.0,10688.0,3818.05,759.0,10700.0,4044.47,746.0,10528.0,3905.95,757.0,10688.0,4014.28,757.0,10705.0,3643.73,773.0,10899.0,4132.42,751.0,10697.0,3827.15,756.0,10670.0,4093.78,734.0,10456.0,3751.0,774.0,10900.0,3957.94,756.0,10641.0,3733.73,738.0,10552.0,3811.47,727.0,10419.0,4138.58,735.0,10453.0,3692.77,741.0,10556.0,3928.28,735.0,10494.0,4093.57,730.0,10410.0,3697.79,744.0,10579.0,3947.08,769.0,10795.0,3615.87,761.0,10719.0,4030.44,747.92,11.61,10596.42,130.7,370.89,51012.17,722732.85
qdd-gfortran-linux-MKL-OMP-noStatic-noDebug,396.0,6234.0,4931.01,379.0,5965.0,4963.39,388.0,6097.0,4847.04,393.0,6180.0,4947.8,388.0,6113.0,4955.7,387.0,6094.0,4921.11,407.0,6410.0,4550.63,388.0,6108.0,5190.23,384.0,6043.0,5266.72,384.0,6036.0,5294.84,389.0,6115.0,4047.24,377.0,5927.0,4129.31,390.0,6125.0,4510.63,388.0,6099.0,3982.06,380.0,5967.0,4332.57,391.0,6157.0,3644.72,387.0,6091.0,4233.07,396.0,6221.0,3772.04,385.0,6059.0,4291.7,396.0,6229.0,3858.09,386.0,6069.0,3735.21,393.0,6178.0,4101.03,363.0,5698.0,4245.86,383.0,6008.0,4434.39,384.0,6036.0,4243.14,393.0,6184.0,4252.96,404.0,6360.0,4174.78,393.0,6176.0,4174.23,385.0,6065.0,4154.68,386.0,6078.0,3998.15,386.0,6063.0,4088.29,386.0,6081.0,4172.23,387.0,6092.0,4213.8,375.0,5897.0,4163.6,376.0,5889.0,3971.93,388.0,6097.0,4322.59,387.0,6083.0,4145.85,382.0,6007.0,3946.97,382.0,6007.0,4479.53,391.0,6148.0,4030.56,395.0,6214.0,3957.03,389.0,6121.0,3873.81,394.0,6197.0,3905.58,388.0,6096.0,4126.02,401.0,6299.0,3924.42,396.0,6227.0,4350.92,393.0,6179.0,3828.03,403.0,6350.0,4310.61,414.0,6504.0,4417.51,386.0,6074.0,3690.25,388.84,8.49,6114.94,135.67,416.46,27750.71,436410.75
